Date, Open, High, Low, Close
7/17/2007,13951.96,14095.6,13880.67,13971.55
7/16/2007,13907.09,14053.57,13834.33,13950.98
7/13/2007,13859.86,13982.93,13784.83,13907.25
7/12/2007,13579.33,13889.45,13598.76,13861.73
7/11/2007,13500.4,13638.75,13435.45,13577.87
7/10/2007,13648.59,13685.9,13463.57,13501.7
7/9/2007,13612.66,13739.06,13563.89,13649.97
7/6/2007,13559.01,13670.46,13501.54,13611.68
7/5/2007,13576.24,13637.78,13459.84,13565.84
7/3/2007,13531.53,13638.26,13487.88,13577.3
7/2/2007,13409.6,13586.97,13406.59,13535.43
6/29/2007,13422.61,13556.16,13291.32,13408.62
6/28/2007,13427.48,13537.47,13342.05,13422.28
6/27/2007,13336.93,13455.36,13205.08,13427.73
6/26/2007,13352.37,13491.7,13272.79,13337.66
6/25/2007,13360.09,13519.34,13273.68,13352.05
